product_id,title,description,text_blob
1,Cognitive Ability Assessment,Measures reasoning problem-solving and analytical thinking skills,Cognitive Ability Assessment Measures reasoning problem-solving and analytical thinking skills
2,Leadership Potential Assessment,Evaluates leadership competencies decision-making and influence,Leadership Potential Assessment Evaluates leadership competencies decision-making and influence
3,Personality Questionnaire,Analyzes behavioral traits work style and cultural fit,Personality Questionnaire Analyzes behavioral traits work style and cultural fit
4,Sales Aptitude Test,Assesses persuasion negotiation and sales effectiveness,Sales Aptitude Test Assesses persuasion negotiation and sales effectiveness
5,Customer Support Assessment,Evaluates communication empathy and service orientation,Customer Support Assessment Evaluates communication empathy and service orientation
6,Graduate Aptitude Test,Screens fresh graduates on aptitude logical reasoning and basics,Graduate Aptitude Test Screens fresh graduates on aptitude logical reasoning and basics
7,Technical Skills Assessment,Measures role-specific technical knowledge and applied skills,Technical Skills Assessment Measures role-specific technical knowledge and applied skills
8,Behavioral Interview Guide,Structured behavioral assessment for hiring decisions,Behavioral Interview Guide Structured behavioral assessment for hiring decisions
9,Managerial Judgment Test,Evaluates judgment decision quality and risk handling,Managerial Judgment Test Evaluates judgment decision quality and risk handling
10,Remote Work Readiness Assessment,Assesses collaboration adaptability and remote efficiency,Remote Work Readiness Assessment Assesses collaboration adaptability and remote efficiency
